[1] steer=-0.0009495925918707189, throttle=0.5, brake=0.0
[2] steer=-0.02020625263302141, throttle=0.5, brake=0.0
[3] steer=-0.01712745974815668, throttle=0.5, brake=0.0
[4] steer=0.020736148289392485, throttle=0.5, brake=0.0
[5] steer=-0.039099173511385525, throttle=0.5, brake=0.0
[6] steer=0.05486600683158362, throttle=0.5, brake=0.0
[7] steer=-0.008044601239690287, throttle=0.5, brake=0.0
[8] steer=0.03063906349986393, throttle=0.5, brake=0.0
[9] steer=0.02255932013091378, throttle=0.5, brake=0.0
[10] steer=-0.009342173613215233, throttle=0.5, brake=0.0
[11] steer=0.09160550484938972, throttle=0.05, brake=0.0
[12] steer=0.00803282179506246, throttle=0.5, brake=0.0
[13] steer=0.012077422638474033, throttle=0.5, brake=0.0
[14] steer=-0.10320090249351721, throttle=0.05, brake=0.0
[15] steer=0.06664381549106628, throttle=0.5, brake=0.0
[16] steer=-0.01423200863520769, throttle=0.05, brake=0.0
[17] steer=0.09021082276721265, throttle=0.05, brake=0.0
[18] steer=0.025503566162756654, throttle=0.5, brake=0.0
[19] steer=0.01618683355791293, throttle=0.5, brake=0.0
[20] steer=-0.06645859582129808, throttle=0.5, brake=0.0
----^ single----v dual
[1] steer=-0.0009495925918707189, throttle=0.5, brake=0.0
[2] steer=-0.02020625263302141, throttle=0.5, brake=0.0
[3] steer=-0.01712745974815668, throttle=0.5, brake=0.0
[4] steer=0.020736148289392485, throttle=0.5, brake=0.0
[5] steer=-0.039099173511385525, throttle=0.5, brake=0.0
[6] steer=0.05486600683158362, throttle=0.5, brake=0.0
[7] steer=-0.008044601239690287, throttle=0.5, brake=0.0
[8] steer=0.03063906349986393, throttle=0.5, brake=0.0
[9] steer=0.02255932013091378, throttle=0.5, brake=0.0
[10] steer=-0.009342173613215233, throttle=0.5, brake=0.0
[11] steer=0.09160550484938972, throttle=0.05, brake=0.0
[12] steer=0.00803282179506246, throttle=0.5, brake=0.0
[13] steer=0.012077422638474033, throttle=0.5, brake=0.0
[14] steer=-0.10320090249351721, throttle=0.05, brake=0.0
[15] steer=0.06664381549106628, throttle=0.5, brake=0.0
[16] steer=-0.01423200863520769, throttle=0.05, brake=0.0
[17] steer=0.09021082276721265, throttle=0.05, brake=0.0
[18] steer=0.025503566162756654, throttle=0.5, brake=0.0
[19] steer=0.01618683355791293, throttle=0.5, brake=0.0
[20] steer=-0.06645859582129808, throttle=0.5, brake=0.0


